id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000075213.9	4.98	0.73	3.99	13.37	3.12	3.45	0.24	2.10	5.51	0.32	0.08
ENSG00000075218.17	37.26	13.03	19.74	50.18	57.67	40.43	25.64	6.29	63.36	20.88	17.79
ENSG00000075223.12	49.79	37.27	47.79	36.53	34.22	27.14	41.92	85.29	9.85	13.77	8.73
ENSG00000075234.15	15.52	8.59	10.65	19.25	29.12	23.34	14.16	18.54	41.99	12.28	27.86
ENSG00000075239.12	39.15	13.30	69.51	32.31	35.44	26.20	77.22	30.70	43.74	48.65	36.41
ENSG00000075240.15	3.07	10.66	3.90	14.44	11.54	4.91	4.09	9.04	6.09	6.36	21.85
ENSG00000075275.15	15.93	25.15	0.90	10.42	8.40	0.10	14.66	11.84	6.07	10.83	28.27
ENSG00000075292.17	9.34	20.63	16.79	22.30	34.02	11.60	16.33	12.33	15.62	7.76	6.33
ENSG00000075303.11	3.69	2.89	7.27	17.83	7.38	8.67	9.70	6.77	4.55	10.32	10.73
ENSG00000075336.10	39.54	21.37	51.72	21.73	69.18	44.16	36.67	33.53	30.91	38.70	16.59
ENSG00000075340.21	0.00	0.02	0.00	23.45	4.55	0.11	2.71	0.00	17.71	1.23	6.01
ENSG00000075391.15	9.80	9.28	14.78	10.57	9.19	6.09	8.24	13.55	9.55	4.40	11.78
ENSG00000075399.11	5.78	9.59	5.57	3.10	2.73	6.06	3.82	20.30	4.61	5.04	7.07
ENSG00000075407.16	3.70	5.04	7.38	3.65	8.54	2.99	7.14	3.24	1.53	6.00	21.04
ENSG00000075413.16	30.26	22.48	30.02	61.49	55.73	29.65	32.26	47.55	26.42	44.21	68.83
ENSG00000075415.11	268.94	586.50	285.70	287.18	343.49	316.54	534.35	525.18	678.50	860.71	587.53
ENSG00000075420.11	11.55	13.60	26.82	39.14	37.29	33.67	14.71	44.28	14.76	27.41	28.67
ENSG00000075426.10	51.80	128.93	39.46	32.93	38.17	49.89	22.59	35.90	33.31	38.56	155.34
ENSG00000075461.5	12.01	0.09	22.77	0.50	0.27	0.11	0.02	0.05	0.09	0.00	0.31
ENSG00000075539.12	9.01	9.40	9.96	17.35	12.73	8.74	10.49	8.95	8.23	7.42	10.57
ENSG00000075568.15	15.61	17.78	8.13	16.81	13.42	11.39	10.95	12.68	8.74	7.01	37.61
ENSG00000075618.16	444.98	93.06	86.30	82.52	68.47	273.03	276.08	410.06	42.93	752.10	8.86
ENSG00000075624.12	5479.50	2451.59	8179.45	1602.61	3012.20	6155.00	5150.71	5179.02	4300.80	5282.56	2644.95
