Id	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
class	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
WIZ|58525	1573	2307	2133	694	582	885	2213.399	1217.5884	1936.2847	1032.0635	1272.4024	1205.7026
WLS|79971	1211	232	93	1027	673	583	2079.6713	248.4134	1620.5999	3856.5079	1846.7325	1736.2525
WNK1|65125	2343	6258	3356	3291	2272	2511	9595.3016	6851.3146	3981.7956	3053.3333	4622.473	12352.8513
WNK2|65268	80.28	91.16	63.15	62.16	65.04	124.04	574.4739	519.6827	329.4001	1051.2317	478.8228	17.8259
WNK3|65267	4	372	163	106	53	55	39.2911	4.5331	5.7923	17.1429	5.2656	6.6191
WNK4|65266	13.85	116.87	1095.44	4	5	12.87	82.9111	347.3889	1089.6607	629.3873	216.8275	6.502
WNT10A|80326	45	12	3	3	8	5	11.7184	23.5721	47.9934	31.746	28.961	7.1283
WNT10B|7480	62	8	1	4	0	4	7.2378	29.9184	16.5494	14.6032	37.9878	56.5173
WNT11|7481	13	13	160	225	279	295	10.3398	28.1052	71.5763	122.2222	445.6982	737.78
WNT16|51384	12	7	0	3	0	0	1.3786	0.9066	2.0687	0	1.1283	0
WNT1|7471	6	1	0	5	1	1	1.034	4.5331	1.6549	1.9048	0.7522	4.0733
